feature,cv,best_iter
V220,0.5281910120537057,141.0
V221,0.5288814538644675,221.0
V222,0.5285267203394963,92.0
V223,Running,
V224,0.5263297786011121,390.0
V225,0.5266431078399549,164.0
V226,0.5258743439841671,111.0
V227,0.5285363142671695,195.0
V228,0.5255132955178483,120.0
V229,0.5258904562231331,318.0
V230,0.5256933818980051,104.0
V231,0.5262683275535217,73.0
V232,0.5263210228277325,126.0
V233,0.5262743209032449,92.0
V234,0.5314623658572057,353.0
V235,0.5260771655091968,261.0
V236,0.5262756287463637,351.0
V237,0.5261161104443545,354.0
V238,0.5280838017010323,599.0
V239,0.528137583267857,614.0
V240,0.52582171179466,200.0
V241,0.5257571848445295,106.0
V242,Running,
V243,0.5256941714134531,240.0
V244,0.5260940841407848,222.0
V245,0.528959035335761,127.0
V246,0.5257552072512343,230.0
V247,0.5260262509000689,410.0
V248,Running,
V249,0.5259760635070588,104.0
V250,0.5288362225705427,158.0
V251,0.5287168581858392,125.0
V252,0.5260533758688903,294.0
V253,0.5261123894953922,180.0
V254,0.5260441424986433,193.0
V255,0.5290169405977312,126.0
V256,0.5286690036088597,280.0
V257,0.5258669188840439,230.0
V258,0.5258291424655039,149.0
V259,0.5290954720011752,149.0
V260,0.5259006110891636,89.0
V261,0.5264863337371786,129.0
V262,0.5258450354536888,319.0
V263,0.5272696533596352,235.0
V264,0.5273715948257187,321.0
V265,0.5272520834947205,220.0
V266,0.5275116801899161,800.0
V267,0.5280537607972898,460.0
V268,0.5279398947786111,800.0
V269,0.5260381045601787,800.0
V270,0.5299609367725634,800.0
V271,0.5293561411718427,652.0
V272,0.5300650823453389,800.0
V273,0.5277339954669803,203.0
V274,0.5278177177021735,364.0
V275,0.5276566824158583,206.0
V276,0.5269410632349888,800.0
V277,0.527566100371873,800.0
V278,0.5273552651218604,602.0
V279,0.5044613379272795,213.0
V280,0.5075885528161462,133.0
V281,0.5065160049288814,157.0
V282,0.511213753900822,92.0
V283,0.5144644340957966,442.0
V284,0.5007102756294953,139.0
V285,0.5081626423289757,71.0
V286,0.5005284969554777,307.0
V287,0.5022711382585117,64.0
V288,0.5066147280787373,135.0
V289,0.5073003546166444,90.0
V290,0.5047554201487621,213.0
V291,0.5105649411016073,400.0
V292,0.5046947255975154,152.0
V293,0.5041668650013101,174.0
V294,0.5094270380001928,117.0
V295,0.5052576460034471,113.0
V296,0.516577505819278,329.0
V297,0.5063924652963679,223.0
V298,0.5097095351049739,797.0
V299,0.5073190702307017,265.0
V300,0.5095181402851521,320.0
V301,0.5101017132177634,288.0
V302,0.5282987460123442,359.0
V303,0.5300644228739463,455.0
V304,0.5291322214583049,644.0
V305,0.499998519805009,1.0
V306,0.508662133477838,303.0
V307,0.5152382331122923,261.0
V308,0.5121576337651901,330.0
V309,0.5060735217068827,800.0
V310,0.5183203807646436,267.0
V311,0.5034135611819774,800.0
V312,0.5131564617955194,427.0
V313,0.5209231814305224,433.0
V314,0.5194297280721568,321.0
V315,0.5200249203583207,369.0
V316,0.5064513605382678,219.0
V317,0.5132650160767146,216.0
V318,0.5088748339814128,287.0
V319,0.5066217909525156,277.0
V320,0.5104351526014647,467.0
V321,0.5075458098672578,375.0
V322,0.5153445576994959,212.0
V323,0.5154011640561477,133.0
V324,0.5154479201317163,121.0
V325,0.5141304785421129,148.0
V326,0.5156790162326483,80.0
V327,0.5153131113052333,84.0
V328,0.5153508444801924,432.0
V329,0.515560590016204,350.0
V330,0.5153500835640347,223.0
V331,0.5156812458472669,272.0
V332,0.5155604481455942,60.0
V333,0.515931060758058,220.0
V334,0.5145695455692862,475.0
V335,0.5157379210703077,800.0
V336,Running,
V337,0.5154528266687244,547.0
V338,0.5157514100262188,800.0
V339,0.5155573851578515,800.0
id_01,0.5371217713622944,89.0
id_02,0.5310182729496815,107.0
id_03,0.5144330587485874,194.0
id_04,0.5143528784473423,346.0
id_05,0.5300015405856132,76.0
id_06,0.5305644326554385,81.0
id_07,0.5011397809146853,57.0
id_08,0.5011454525975887,87.0
id_09,0.5159248713657565,221.0
id_10,0.515903088624036,310.0
id_11,0.5275824724127904,483.0
id_12,0.5304046517379192,99.0
id_13,0.6226651304623789,638.0
id_14,0.5098331848067392,270.0
id_15,0.5278662367781888,149.0
id_16,0.5261540460660277,155.0
id_17,0.528629007837775,228.0
id_18,0.5166890023349607,529.0
id_19,0.5485938220002589,607.0
id_20,0.5443326742815865,492.0
id_21,0.5044287206749002,800.0
id_22,0.5011752822943615,455.0
id_23,0.50125485588627,34.0
id_24,0.5012204902860893,800.0
id_25,0.5016371283303501,800.0
id_26,0.5023588937058932,621.0
id_27,0.5011385141303049,39.0
id_28,0.527526158779023,106.0
id_29,0.5274974705745019,106.0
id_30,0.5546215696783953,507.0
id_31,0.6922860155449513,800.0
id_32,0.5114356489383449,194.0
id_33,0.51670503565434,503.0
id_34,0.5401699142120986,241.0
id_35,0.5281694428103236,155.0
id_36,0.5301738124353026,106.0
id_37,0.5282992348404694,152.0
id_38,0.5435788181358505,106.0
DeviceType,0.5292119413865903,148.0
DeviceInfo,0.5399588142536393,800.0
DT,Running,
DT_M,1.0,610.0
DT_W,1.0,610.0
DT_D,1.0,610.0
DT_hour,0.5078994885897481,25.0
DT_day_week,0.5065879183684225,16.0
DT_day,0.5441200956988831,175.0
D9_fixed,0.5156900931709599,93.0
M_sum,0.499998519805009,1.0
M_na,0.5892067989167171,159.0
ProductCD_target_mean,0.5296539720455,132.0
M4_target_mean,0.5217530124888988,192.0
uid,0.5516666041850573,604.0
uid2,0.5645517176778657,800.0
uid3,0.5573151141543,610.0
TransactionAmt_check,0.5373640973216839,74.0
card1_TransactionAmt_mean,0.5472997822101637,358.0
card1_TransactionAmt_std,0.5477745252331004,431.0
card2_TransactionAmt_mean,0.5486528902018597,606.0
card2_TransactionAmt_std,0.5498282091163464,580.0
card3_TransactionAmt_mean,0.5168145974004674,163.0
card3_TransactionAmt_std,0.5164657949593092,202.0
card5_TransactionAmt_mean,0.534802630492265,222.0
card5_TransactionAmt_std,0.534772844461002,227.0
uid_TransactionAmt_mean,0.5528427921800056,350.0
uid_TransactionAmt_std,0.5538649473805678,385.0
uid2_TransactionAmt_mean,0.5672747836290661,682.0
uid2_TransactionAmt_std,0.5690822806612752,684.0
uid3_TransactionAmt_mean,0.54200087503401,464.0
uid3_TransactionAmt_std,0.5406641594757869,459.0
TransactionAmt_log1p,0.5443760779091701,797.0
email_check,0.5239999483035453,95.0
P_emaildomain_prefix,0.5261615312096213,115.0
R_emaildomain_prefix,0.5306142714136595,129.0
DeviceInfo_device,0.5409003969842494,800.0
DeviceInfo_version,0.529334679246817,800.0
id_30_device,0.5115667514079371,55.0
id_30_version,0.5537403609768524,800.0
id_31_device,0.5742406804415351,800.0
card1_fq_enc,0.5467693574093674,340.0
card2_fq_enc,0.5479662094024603,600.0
card3_fq_enc,0.5164592582732023,158.0
card5_fq_enc,0.5347698561171563,535.0
C1_fq_enc,0.5175906642370752,239.0
C2_fq_enc,0.5156349722103095,142.0
C3_fq_enc,0.5128608771755361,145.0
C4_fq_enc,0.5278923657013241,642.0
C5_fq_enc,0.524495308223108,173.0
C6_fq_enc,0.5109744620082158,618.0
C7_fq_enc,0.5166775493176538,800.0
C8_fq_enc,0.5306400475808839,286.0
C9_fq_enc,0.5231844840000224,544.0
C10_fq_enc,0.5334326220432744,434.0
C11_fq_enc,0.5257990779922033,456.0
C12_fq_enc,0.5575347156611745,430.0
C13_fq_enc,0.5190916092079215,178.0
C14_fq_enc,0.5189580741882273,106.0
D1_fq_enc,0.531933953176559,222.0
D2_fq_enc,0.5277807998221277,221.0
D3_fq_enc,0.5269807289946612,116.0
D4_fq_enc,0.6341270462884894,547.0
D5_fq_enc,0.548483891535923,148.0
D6_fq_enc,0.5813633168797219,342.0
D7_fq_enc,0.5323889702150418,351.0
D8_fq_enc,0.5169668480258642,440.0
addr1_fq_enc,0.5274349126662865,266.0
addr2_fq_enc,0.5160944011989663,361.0
dist1_fq_enc,0.5206300771284742,387.0
dist2_fq_enc,0.5152681104160635,799.0
P_emaildomain_fq_enc,0.5264315730101967,101.0
R_emaildomain_fq_enc,0.5307047368526653,97.0
DeviceInfo_fq_enc,Running,
DeviceInfo_device_fq_enc,0.5405109292369723,800.0
DeviceInfo_version_fq_enc,0.5291153802799946,800.0
id_30_fq_enc,0.5542274373726794,800.0
id_30_device_fq_enc,0.5115964779388069,55.0
id_30_version_fq_enc,0.5533355081586856,800.0
id_31_device_fq_enc,0.5742378079695143,800.0
id_33_fq_enc,0.5166347590207729,485.0
uid_fq_enc,0.5508773050383745,454.0
uid2_fq_enc,0.5681958964051675,656.0
uid3_fq_enc,0.5463801901781348,605.0
DT_M_total,1.0,514.0
DT_W_total,1.0,524.0
DT_D_total,0.9826723916604962,800.0
uid_DT_M,0.7324661071816791,800.0
uid_DT_W,0.690609283963135,800.0
uid_DT_D,0.653371595765326,800.0
year_day,Running,
Trans_Count_Day,0.9826723916604962,800.0
Mean_TransAmt_Day,0.9754586372988104,800.0
Sum_TransAmt_Day,0.9788112707550914,800.0
DT_day_month,0.5441200956988831,175.0
is_december,0.5274771576549946,105.0
is_holiday,Running,
uid4,0.5562543889257818,586.0
uid5,0.55579560883313,584.0
uid4_fq_enc,0.5342480578582113,437.0
uid5_fq_enc,0.5431021863858766,467.0
bank_type,0.5470479486932918,343.0
card3_DT_D_hour_dist,0.585287051085146,800.0
card3_DT_W_week_day_dist,0.920630011731514,800.0
card3_DT_M_month_day_dist,0.895398948637154,800.0
card3_DT_D_hour_dist_best,0.5281325244227093,76.0
card3_DT_W_week_day_dist_best,0.5246468621199154,45.0
card3_DT_M_month_day_dist_best,0.7170654865642647,126.0
card5_DT_D_hour_dist,0.5671343008032459,800.0
card5_DT_W_week_day_dist,0.7729837024407248,800.0
card5_DT_M_month_day_dist,0.7920961192740472,800.0
card5_DT_D_hour_dist_best,0.5271299557443303,93.0
card5_DT_W_week_day_dist_best,0.5266174384960509,76.0
card5_DT_M_month_day_dist_best,0.689554672298695,101.0
bank_type_DT_D_hour_dist,0.5650587535271112,796.0
bank_type_DT_W_week_day_dist,0.750890956017244,800.0
bank_type_DT_M_month_day_dist,0.7007358364226755,800.0
bank_type_DT_D_hour_dist_best,0.5161958918920273,103.0
bank_type_DT_W_week_day_dist_best,0.5250300029530776,48.0
bank_type_DT_M_month_day_dist_best,0.6011112516313151,119.0
bank_type_DT_M,0.9982006543252915,800.0
bank_type_DT_W,0.9655246305424046,800.0
bank_type_DT_D,0.7493381024469226,800.0
uid_D1_mean,0.5544435594141253,796.0
uid_D1_std,0.5532029360005608,597.0
uid2_D1_mean,0.5696572013790966,800.0
uid2_D1_std,0.5692847188154514,799.0
uid3_D1_mean,0.5475496553325835,799.0
uid3_D1_std,0.5466380812155882,483.0
uid4_D1_mean,0.5426656132744602,400.0
uid4_D1_std,0.5367589626067383,408.0
uid5_D1_mean,0.5471967568953146,440.0
uid5_D1_std,0.5456122975834728,664.0
bank_type_D1_mean,0.5466241315629599,598.0
bank_type_D1_std,0.5463518224644619,272.0
uid_D2_mean,0.55603415192647,430.0
uid_D2_std,0.5536121180101754,441.0
uid2_D2_mean,0.5698830180180514,794.0
uid2_D2_std,0.5700177891173668,509.0
uid3_D2_mean,0.547353898548683,480.0
uid3_D2_std,0.5475439850595925,618.0
uid4_D2_mean,0.5424245926642112,419.0
uid4_D2_std,0.5353419962976019,364.0
uid5_D2_mean,0.5458570808760917,430.0
uid5_D2_std,0.544173356137011,561.0
bank_type_D2_mean,0.5466299661022364,222.0
bank_type_D2_std,0.5467691191216353,339.0
uid_D3_mean,0.5544818363306878,426.0
uid_D3_std,0.5536371689017393,523.0
uid2_D3_mean,0.5679039681914888,435.0
uid2_D3_std,0.5715755828871387,799.0
uid3_D3_mean,0.5491488630615272,436.0
uid3_D3_std,0.5487682937812106,559.0
uid4_D3_mean,0.5437645353950007,408.0
uid4_D3_std,0.5399210202790788,384.0
uid5_D3_mean,0.5493762882037698,600.0
uid5_D3_std,0.5470977185391711,431.0
bank_type_D3_mean,0.5461885096870798,557.0
bank_type_D3_std,0.5463465711777566,539.0
uid_D4_mean,0.5563783951118931,614.0
uid_D4_std,0.5535236599313713,600.0
uid2_D4_mean,0.5699798145466016,800.0
uid2_D4_std,0.5707340539754633,598.0
uid3_D4_mean,0.5600114164147272,796.0
uid3_D4_std,0.5548924291717798,594.0
uid4_D4_mean,0.5628114325703434,387.0
uid4_D4_std,0.5433213777836915,351.0
uid5_D4_mean,0.5766107100096353,446.0
uid5_D4_std,0.5559607309479919,466.0
bank_type_D4_mean,0.5466441403215381,376.0
bank_type_D4_std,Running,
uid_D5_mean,Running,
uid_D5_std,Running,
uid2_D5_mean,Running,
uid2_D5_std,Running,
uid3_D5_mean,Running,
uid3_D5_std,Running,
uid4_D5_mean,Running,
uid4_D5_std,Running,
uid5_D5_mean,Running,
uid5_D5_std,Running,
bank_type_D5_mean,Running,
